Tn,Tavg,RH_avg,ss,ff_avg
26.00,29.70,69.00,7.00,2.00
26.00,29.20,70.00,2.30,1.00
26.00,29.90,67.00,7.00,1.00
27.00,30.00,67.00,8.00,2.00
27.00,30.50,67.00,6.30,2.00
26.00,31.30,68.00,8.00,2.00
26.00,29.50,76.00,0.50,2.00
25.00,29.10,75.00,5.60,2.00
26.00,29.00,74.00,7.40,2.00
25.00,29.80,67.00,7.50,2.00
25.00,29.10,72.00,5.50,2.00
25.00,31.60,72.00,7.00,2.00
26.00,29.50,72.00,2.70,2.00
26.00,29.30,74.00,6.00,2.00
27.00,29.50,74.00,5.80,2.00
25.00,29.80,74.00,4.00,1.00
25.00,28.60,75.00,5.00,2.00
22.00,26.60,87.00,3.00,2.00
25.00,27.50,80.00,3.00,2.00
24.88,28.50,78.00,1.00,2.00
24.00,27.50,79.00,5.00,0.00
25.00,28.20,77.00,6.80,0.00
27.00,29.20,76.00,4.20,1.00
26.00,28.70,79.00,4.50,1.00
26.00,29.30,76.00,3.00,2.00
25.00,29.80,73.00,3.00,2.00
27.00,29.40,75.00,3.40,2.00
25.00,28.30,80.00,1.00,1.00
27.00,29.70,72.00,1.30,2.00
26.00,29.10,76.00,4.40,1.00
25.00,28.80,74.00,2.00,2.00
25.00,27.60,80.00,2.20,2.00
23.00,27.30,84.00,0.40,1.00
24.00,27.50,85.00,3.00,2.00
24.00,26.90,84.00,3.30,2.00
24.00,26.40,89.00,0.00,0.00
25.00,26.30,88.00,1.00,2.00
24.00,28.20,80.00,3.20,3.00
25.00,28.80,70.00,8.00,4.00
25.00,28.20,71.00,2.50,4.00
25.00,29.10,67.00,7.20,3.00
26.00,29.80,67.00,8.00,2.00
26.00,29.10,68.00,8.00,2.00
26.00,29.20,72.00,6.00,2.00
27.00,29.90,66.00,4.30,2.00
24.00,26.60,78.00,0.00,2.00
25.00,29.40,75.00,5.30,2.00
26.00,29.20,71.00,7.00,2.00
